"nom","typedecuisine","adresse","ville","lien_google_maps","phone"
"Au Soleil Levant","Japon","","Nantes","https://www.google.com/maps?q=47.2156525,-1.5531449","+33 2 40 35 68 65"
"Le Tokyo","Japon","","Nantes","https://www.google.com/maps?q=47.2156313,-1.5532312","+33 2 40 89 02 04"
"Oléa","Liban","","Nantes","https://www.google.com/maps?q=47.2156137,-1.5533042","+33 6 25 48 84 67"
"The red & luna","Japon","","Nantes","https://www.google.com/maps?q=47.2156176,-1.5528782","+33 9 83 77 62 48"
"La Loco","Fruits de mer","","Nantes","https://www.google.com/maps?q=47.2167002,-1.5467755","+33 2 40 74 87 37"
"Squadra","Italie","","Nantes","https://www.google.com/maps?q=47.2008305,-1.573476","+33 2 28 44 92 38"
"Le Soleil","Asie","","Nantes","https://www.google.com/maps?q=47.2138744,-1.5536711",""
"Mia Nonna - Le Clan des Mamma","Italie","","Nantes","https://www.google.com/maps?q=47.2148919,-1.5554715","+33 2 40 47 59 84"
"Shaan Tandoori","Inde","","Nantes","https://www.google.com/maps?q=47.2149559,-1.5552494","+33 6 75 96 76 52"
"Lucciola Trattoria","Italie","","Nantes","https://www.google.com/maps?q=47.215003,-1.5531827","+33 2 40 12 13 44"
"L'Océanide","Fruits de mer","","Nantes","https://www.google.com/maps?q=47.2207018,-1.5550616","+33 2 40 20 32 28"
"Moulerie Brûle-Doigts","Fruits de mer","","Nantes","https://www.google.com/maps?q=47.2155348,-1.5538359","+33 2 40 89 53 32;+33 2 51 83 23 64"
"Oyster Oyster","Fruits de mer","","Nantes","https://www.google.com/maps?q=47.2143716,-1.5720276","+33 2 40 73 86 09"
"Malis","Vietnam","","Nantes","https://www.google.com/maps?q=47.220863,-1.548473",""
"Les Pâtes Express","Chine","","Nantes","https://www.google.com/maps?q=47.2099689,-1.5645691","+33 2 51 82 08 08"
"Aspendos","Grèce","","Nantes","https://www.google.com/maps?q=47.2105915,-1.5628204","+33 2 40 69 60 26"
"New Vietnam Express","Vietnam","","Nantes","https://www.google.com/maps?q=47.2118605,-1.5597286","+33 9 82 37 52 00"
"Le Vaporetto","Italie","","Nantes","https://www.google.com/maps?q=47.195116,-1.5804976","+33 2 40 75 82 84"
"Traiteur Spécialité Asiatique","Chine","","Nantes","https://www.google.com/maps?q=47.191729,-1.5464212",""
"Taj Mahal","Inde","","Nantes","https://www.google.com/maps?q=47.214622,-1.5591877","+33 2 40 89 18 31"
"La Pasta","Italie","","Nantes","https://www.google.com/maps?q=47.2172072,-1.5554742","+33 2 40 47 33 22"
